1008-HV-C-L-01,9452,1835,5385,15549,6220,218,315,230,1
1010-HV-C-L-01,8151,2324,4747,14406,7716,510,568,782,1
1011-HV-C-L-01,10750,2759,5174,13779,6029,256,243,214,1
1025-HV-C-L-01,12041,2384,8381,11063,5046,113,155,21,1
1028-HV-C-L-01,12183,3361,5379,11335,6197,318,272,159,1
1029-HV-C-L-01,12817,2478,6804,12710,4015,159,162,59,1
1030-HV-C-L-01,11938,2234,8014,12677,4172,81,80,8,1
1037-HV-C-L-01,9698,3138,5546,13960,5941,383,254,284,1
1053-HV-C-L-01,10416,3179,5509,12693,6781,233,304,89,1
1054-HV-C-L-01,9622,2333,5183,13559,6719,608,722,458,1
1058-HV-C-L-01,15351,2739,6737,2360,9024,2909,18,66,1
1059-HV-C-L-01,13501,2825,5955,12200,4524,88,68,43,1
1060-HV-C-L-01,14101,2496,6863,11267,4321,82,64,10,1
1065-HV-C-L-01,10441,2412,5545,14315,5740,239,361,151,1
1070-HV-C-L-01,12370,2995,7382,6400,9966,13,70,8,1
1072-HV-C-L-01,10649,2394,7528,13055,5221,98,236,23,1
1073-HV-C-L-01,11909,2716,7646,5500,11315,17,69,32,1
1075-HV-C-L-01,12104,2829,6517,12553,4821,81,191,108,1
1076-HV-C-L-01,13158,2860,5791,11462,5715,73,101,44,1
1077-HV-C-L-01,12477,2224,6823,13151,4159,127,217,26,1
1086-HV-C-L-01,15779,1928,6662,11075,3597,47,99,17,1
1094-HV-C-L-01,16434,2834,6153,2465,8840,2453,3,22,1
1096-HV-C-L-01,15783,2104,6826,8822,5607,9,49,4,1
1097-HV-C-L-01,9078,3467,5359,12758,8180,167,125,70,1
1107-HV-C-L-01,15360,3134,7641,4271,8649,24,88,37,1
1108-HV-C-L-01,11984,2172,6498,14222,3848,143,189,148,1
1109-HV-C-L-01,13912,2559,6525,5431,10697,8,62,10,1
1113-HV-C-L-01,12343,3382,5612,11316,6265,118,118,50,1
1118-HV-C-L-01,14994,2404,6368,11725,3547,53,89,24,1
1123-HV-C-L-01,15948,2094,5560,11962,3382,97,136,25,1
1125-HV-C-L-01,12929,2134,7714,12138,4006,69,183,31,1
1126-HV-C-L-01,13191,2691,7594,11452,4149,40,63,24,1
1128-HV-C-L-01,13376,2276,6733,11991,4384,197,204,43,1
1129-HV-C-L-01,14212,3040,6405,4396,11037,19,84,11,1
1130-HV-C-L-01,11840,2451,6148,13567,4762,118,198,120,1
1131-HV-C-L-01,14591,2125,8010,10581,3646,64,146,41,1
1133-HV-C-L-01,13277,3329,7749,5320,9358,34,115,22,1
1134-HV-C-L-01,10371,2492,6209,14454,5238,128,191,121,1
1135-HV-C-L-01,12278,2810,7087,12412,4247,95,160,115,1
1136-HV-C-L-01,11765,2404,6209,13433,4846,161,268,118,1
1137-HV-C-L-01,13934,2499,6808,11518,4178,90,133,44,1
1147-HV-C-L-01,16090,2537,6352,2231,8168,3812,7,7,1
1148-HV-C-L-01,14454,2654,7508,4830,9692,6,45,15,1
1149-HV-C-L-01,18127,2527,6248,7502,4770,8,15,7,1
1150-HV-C-L-01,11337,2697,5397,14254,5224,102,140,53,1
1151-HV-C-L-01,6373,2784,4592,14796,8828,669,592,570,1
1152-HV-C-L-01,13121,2690,6852,10926,5276,83,177,79,1
1153-HV-C-L-01,8992,1891,4930,17360,5555,101,275,100,1
1197-HV-C-L-01,14280,2541,6275,11169,4700,94,107,38,1
1200-HV-C-L-01,13072,2990,7742,8742,6566,33,57,2,1
